energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 1224.60775; 3232.9644599999997; 0.006186272768368138
1.5; 430.333326; 1136.07998064; 0.01760439435675399
2.0; 2315.17191; 6112.053842400001; 0.003272222482933276
3.0; 807.299462; 2131.27057968; 0.009384073608806116
4.0; 369.86548400000004; 976.4448777600002; 0.020482467014298567
5.0; 198.630918; 524.3856235200001; 0.03813987093266907
6.0; 118.5140268; 312.877030752; 0.06392287715058531
8.0; 51.8037959; 136.762021176; 0.1462394298360205
10.0; 27.0173099; 71.325698136; 0.28040384493489395
15.0; 8.20048895; 21.649290828; 0.9238177896401623
20.0; 3.5464068299999996; 9.3625140312; 2.1361783740297997
30.0; 1.1597863; 3.061835832; 6.532028853727256
40.0; 0.582214745; 1.5370469268000002; 13.011964469841065
50.0; 0.37538822299999997; 0.9910249087199999; 20.181127461096658
60.0; 0.282249674; 0.7451391393600001; 26.840624714973362
80.0; 0.203987508; 0.5385270211200001; 37.138340725048586
100.0; 0.17177078099999998; 0.45347486183999997; 44.103878038242
150.0; 0.138539042; 0.36574307088; 54.683195916408714
200.0; 0.122851559; 0.32432811576000004; 61.665945775727394
