energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 8747.71772; 71293.899418; 0.00028052891149548314
1.5; 3552.769576; 28955.072044400004; 0.0006907252715286563
2.0; 1722.3719580000002; 14037.331457700002; 0.0014247722268486617
3.0; 727.7673114; 5931.303587910001; 0.0033719400303108328
4.0; 339.07146339999997; 2763.43242671; 0.007237376172722619
5.0; 191.49206660000004; 1560.6603427900004; 0.012815088236461433
6.0; 202.579385; 1651.02198775; 0.012113709053176115
8.0; 144.56816108000004; 1178.2305128020005; 0.01697460707619695
10.0; 176.35675344; 1437.307540536; 0.013914906473350589
15.0; 59.319601487999996; 483.4547521272; 0.04136891800525289
20.0; 32.27038536; 263.003640684; 0.07604457469860687
30.0; 10.494519965999999; 85.53033772289999; 0.2338351575881265
40.0; 4.698976748000001; 38.296660496200005; 0.5222387472135985
50.0; 2.537357438; 20.6794631197; 0.9671430967154694
60.0; 1.5536087040000002; 12.661910937600002; 1.5795404104928015
80.0; 0.750295862; 6.1149112753; 3.2706934082242745
100.0; 0.45426250300000004; 3.7022393994500007; 5.402135800016382
150.0; 0.222941482; 1.8169730783; 11.00731774117008
200.0; 0.15818365300000004; 1.2891967719500004; 15.513535586773614
