energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 8720.55438; 68805.17405819999; 0.00029067581433748964
1.5; 3310.704673; 26121.45986997; 0.0007656539909927695
2.0; 1601.109522; 12632.75412858; 0.0015831860413361915
3.0; 591.4445485; 4666.497487664999; 0.004285869659817926
4.0; 273.415915; 2157.25156935; 0.00927105595108047
5.0; 149.318866; 1178.12585274; 0.016976115033453722
6.0; 166.42032490000003; 1313.056363461; 0.015231638607868515
8.0; 262.5968348; 2071.889026572; 0.009653026655144063
10.0; 166.08683904999998; 1310.4251601044998; 0.015262222222904435
15.0; 55.541797675; 438.22478365574995; 0.04563867847262404
20.0; 26.67841196; 210.49267036439997; 0.09501518492485496
30.0; 8.555537730000001; 67.5031926897; 0.29628228240901716
40.0; 3.81080496; 30.0672511344; 0.665175539679381
50.0; 2.058638267; 16.24265592663; 1.2313257197802114
60.0; 1.2664849550000001; 9.99256629495; 2.001487847031599
80.0; 0.623055344; 4.9159066641599996; 4.068425494286206
100.0; 0.386650967; 3.05067612963; 6.555923719908509
150.0; 0.201200681; 1.58747337309; 12.598636511975137
200.0; 0.148157557; 1.1689631247299999; 17.10917955997926
