energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 8720.830954947673; 68807.35623453713; 0.0002906665957608935
1.5; 3311.4073503423806; 26127.003994201383; 0.0007654915199782873
2.0; 1601.7179675539926; 12637.554764001; 0.001582584635515999
3.0; 591.5002714719143; 4666.937141913403; 0.004285465904475452
4.0; 273.4386130432911; 2157.430656911567; 0.009270286363980133
5.0; 149.3411771456935; 1178.3018876795218; 0.01697357885031214
6.0; 166.43274019102452; 1313.1543201071834; 0.015230502381751707
8.0; 262.60804276232307; 2071.977457394729; 0.009652614669441279
10.0; 166.16757652405622; 1311.0621787748034; 0.015254806616944847
15.0; 55.54757441919645; 438.27036216746; 0.04563393221729682
20.0; 25.000894736986123; 197.2570594748205; 0.10139054112054714
30.0; 8.557234827590094; 67.51658278968584; 0.2962235227795814
40.0; 3.8105157720959766; 30.064969441837253; 0.6652260212235164
50.0; 2.058558960831874; 16.242030200963487; 1.231373156713721
60.0; 1.266348103192248; 9.991486534186837; 2.001704143979784
80.0; 0.6230749238251263; 4.916061148980246; 4.068297646002362
100.0; 0.38665538463962285; 3.0507109848066243; 6.555848816753037
150.0; 0.2012262898248734; 1.5876754267182511; 12.597033161456872
200.0; 0.1481926610257993; 1.1692400954935565; 17.105126720408656
