energy (kev); u_mass (cm2/g); u_linear (cm-1); optimal_thickness (mm)
1.0; 5601.406021812943; 24478.144315322563; 0.0008170554002118787
1.5; 2000.374583132798; 8741.636928290327; 0.0022879010148859572
2.0; 1070.4629204822472; 4677.92296250742; 0.004275401745667007
3.0; 362.37299540301234; 1583.569989911164; 0.012629691221366209
4.0; 165.53652488758047; 723.3946137587267; 0.0276474273095301
5.0; 628.1866179045552; 2745.1755202429063; 0.007285508650547163
6.0; 413.4093196299671; 1806.5987267829564; 0.0110705270094009
8.0; 193.4622534766127; 845.4300476927974; 0.023656599448506198
10.0; 105.7506849469592; 462.1304932182117; 0.04327781934648548
15.0; 34.25915693988616; 149.71251582730252; 0.1335893655215209
20.0; 15.137754987131773; 66.15198929376585; 0.30233406755440984
30.0; 4.751851484935136; 20.765590989166544; 0.9631317505210445
40.0; 2.1186848358558223; 9.258652732689944; 2.1601414997870148
50.0; 1.165264366328677; 5.0922052808563185; 3.9275714345586534
60.0; 0.7382042216836683; 3.2259524487576305; 6.199719406187262
80.0; 0.3936450502507702; 1.7202288695958656; 11.626359930058964
100.0; 0.2662576483035828; 1.1635459230866567; 17.188835956679704
150.0; 0.16329415247408166; 0.7135954463117369; 28.027084678540568
200.0; 0.13083605741892615; 0.5717535709207073; 34.98010509631547
